id_actividad,nombre,tipo,nivel_dificultad,duracion,ubicacion
1,Bitchip,TurismoExtremo,Bajo,2,Florencia
2,Bytecard,CaminataEcologica,Medio,4,El Doncello
3,Alpha,TurismoExtremo,Alto,2,El Doncello
4,Tresom,TurismoExtremo,Bajo,4,Florencia
5,Lotlux,TurismoExtremo,Bajo,2,Florencia
6,Biodex,TurismoExtremo,Bajo,5,Morelia
7,Solarbreeze,CaminataEcologica,Alto,3,Florencia
8,Zamit,CaminataEcologica,Bajo,3,Belén de los Andaquíes
9,Stronghold,CaminataEcologica,Bajo,4,Belén de los Andaquíes
10,Flexidy,CaminataEcologica,Medio,8,Belén de los Andaquíes
11,Alphazap,CaminataEcologica,Medio,8,El Doncello
12,Holdlamis,Cascada,Alto,8,Florencia
13,Cardguard,CaminataEcologica,Medio,5,Belén de los Andaquíes
14,Zaam-Dox,CaminataEcologica,Alto,8,Florencia
15,Matsoft,TurismoExtremo,Bajo,5,Morelia
16,Bitwolf,TurismoExtremo,Alto,2,Morelia
17,Aerified,Cascada,Bajo,3,El Doncello
18,Voltsillam,CaminataEcologica,Alto,5,Florencia
19,Namfix,CaminataEcologica,Alto,6,El Doncello
20,Alpha,CaminataEcologica,Alto,7,Belén de los Andaquíes
21,Voltsillam,TurismoExtremo,Alto,7,Florencia
22,Bitchip,CaminataEcologica,Alto,7,Florencia
23,Rank,TurismoExtremo,Alto,5,El Doncello
24,Zaam-Dox,TurismoExtremo,Medio,2,Belén de los Andaquíes
25,Subin,CaminataEcologica,Alto,4,El Doncello
26,Voyatouch,CaminataEcologica,Alto,5,Belén de los Andaquíes
27,Zamit,Cascada,Alto,8,Belén de los Andaquíes
28,Matsoft,TurismoExtremo,Medio,3,Morelia
29,Tempsoft,Cascada,Alto,1,Belén de los Andaquíes
30,Y-find,CaminataEcologica,Bajo,3,Florencia
31,Tresom,TurismoExtremo,Medio,1,Florencia
32,Tin,Cascada,Bajo,3,Morelia
33,Wrapsafe,TurismoExtremo,Bajo,1,El Doncello
34,Voyatouch,CaminataEcologica,Alto,3,Florencia
35,Bitwolf,TurismoExtremo,Medio,5,Morelia
36,Cookley,Cascada,Medio,2,Florencia
37,Sonair,CaminataEcologica,Bajo,2,Morelia
38,Zathin,CaminataEcologica,Medio,5,El Doncello
39,Trippledex,TurismoExtremo,Bajo,4,Belén de los Andaquíes
40,Matsoft,Cascada,Alto,5,Belén de los Andaquíes
41,Toughjoyfax,TurismoExtremo,Medio,1,Morelia
42,Lotstring,TurismoExtremo,Bajo,1,Florencia
43,Temp,TurismoExtremo,Bajo,5,Florencia
44,Tres-Zap,Cascada,Bajo,8,Morelia
45,Stringtough,CaminataEcologica,Bajo,2,Belén de los Andaquíes
46,Matsoft,TurismoExtremo,Alto,6,El Doncello
47,Ronstring,Cascada,Alto,1,Florencia
48,Y-find,Cascada,Medio,5,Florencia
49,Veribet,TurismoExtremo,Alto,5,Morelia
50,Fintone,Cascada,Bajo,1,El Doncello
51,Veribet,CaminataEcologica,Medio,4,Florencia
52,Mat Lam Tam,Cascada,Medio,4,Belén de los Andaquíes
53,Subin,CaminataEcologica,Bajo,2,Morelia
54,Quo Lux,CaminataEcologica,Medio,2,El Doncello
55,Fixflex,CaminataEcologica,Bajo,1,Florencia
56,Sonsing,CaminataEcologica,Alto,6,El Doncello
57,Ventosanzap,Cascada,Medio,7,Belén de los Andaquíes
58,Kanlam,Cascada,Bajo,7,Morelia
59,Redhold,Cascada,Bajo,2,Morelia
60,Namfix,Cascada,Bajo,5,Morelia
61,Job,Cascada,Bajo,3,Belén de los Andaquíes
62,Otcom,CaminataEcologica,Alto,1,Morelia
63,Bitchip,Cascada,Alto,2,Morelia
64,Flexidy,CaminataEcologica,Medio,6,Morelia
65,Daltfresh,TurismoExtremo,Alto,4,Morelia
66,Zathin,CaminataEcologica,Medio,5,Morelia
67,Stringtough,CaminataEcologica,Alto,7,Morelia
68,Opela,Cascada,Medio,3,Belén de los Andaquíes
69,Greenlam,TurismoExtremo,Bajo,5,Morelia
70,Bytecard,Cascada,Medio,4,Florencia
