nombre_destino,clima
Morelia,Cálido
Morelia,Cálido
Curillo,Cálido
Morelia,Templado
Morelia,Templado
Curillo,Cálido
Morelia,Templado
Florencia,Templado
San José del Fragua,Cálido
Belén de los Andaquíes,Cálido
Curillo,Templado
Morelia,Templado
Florencia,Cálido
San José del Fragua,Templado
Florencia,Templado
Morelia,Cálido
Belén de los Andaquíes,Templado
Belén de los Andaquíes,Templado
San José del Fragua,Cálido
Florencia,Cálido
Morelia,Templado
Belén de los Andaquíes,Templado
Florencia,Cálido
Morelia,Templado
Florencia,Templado
Belén de los Andaquíes,Cálido
Curillo,Cálido
Florencia,Templado
Florencia,Templado
Morelia,Cálido
Florencia,Templado
Belén de los Andaquíes,Templado
Curillo,Templado
Florencia,Templado
Belén de los Andaquíes,Templado
Florencia,Cálido
Florencia,Templado
Florencia,Cálido
Belén de los Andaquíes,Cálido
Belén de los Andaquíes,Templado
San José del Fragua,Cálido
San José del Fragua,Cálido
San José del Fragua,Templado
Belén de los Andaquíes,Templado
Florencia,Cálido
Curillo,Templado
San José del Fragua,Templado
Morelia,Templado
Morelia,Cálido
Florencia,Templado
Belén de los Andaquíes,Cálido
Florencia,Cálido
Morelia,Cálido
Morelia,Cálido
Curillo,Cálido
Belén de los Andaquíes,Templado
Belén de los Andaquíes,Cálido
Curillo,Cálido
Belén de los Andaquíes,Cálido
Morelia,Cálido
Morelia,Templado
Curillo,Templado
San José del Fragua,Cálido
San José del Fragua,Templado
Curillo,Templado
San José del Fragua,Templado
Morelia,Templado
Florencia,Cálido
Curillo,Cálido
Morelia,Cálido
Morelia,Templado
San José del Fragua,Cálido
Florencia,Cálido
Florencia,Templado
Morelia,Cálido
Belén de los Andaquíes,Cálido
Belén de los Andaquíes,Templado
San José del Fragua,Cálido
San José del Fragua,Cálido
Morelia,Templado
San José del Fragua,Templado
Curillo,Templado
Morelia,Cálido
Belén de los Andaquíes,Cálido
Florencia,Templado
Morelia,Templado
San José del Fragua,Templado
Florencia,Templado
San José del Fragua,Cálido
San José del Fragua,Templado
Florencia,Templado
Belén de los Andaquíes,Templado
Curillo,Cálido
San José del Fragua,Templado
Belén de los Andaquíes,Templado
Belén de los Andaquíes,Cálido
San José del Fragua,Cálido
San José del Fragua,Cálido
Curillo,Templado
Curillo,Cálido
Florencia,Templado
Belén de los Andaquíes,Templado
Florencia,Templado
Belén de los Andaquíes,Templado
Belén de los Andaquíes,Templado
Curillo,Templado
San José del Fragua,Cálido
San José del Fragua,Cálido
Curillo,Templado
